accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,transactionType,isFraud
158904080,158904080,7500.0,5880.7,2016-02-08T01:17:49,0.0,Franks Pub #960098,US,US,80,01,food,01/2020,2015-05-25,2015-05-25,235,235,368,,1619.3,,,,False,,,False,ADDRESS_VERIFICATION,False
158904080,158904080,7500.0,5880.7,2016-02-10T11:52:24,56.34,Franks Pub #632075,US,US,09,01,food,10/2025,2015-05-25,2015-05-25,235,235,368,,1619.3,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5824.36,2016-02-16T14:06:59,0.0,South Steakhouse #796913,US,US,90,08,food,03/2025,2015-05-25,2015-05-25,235,235,368,,1675.64,,,,False,,,False,ADDRESS_VERIFICATION,False
158904080,158904080,7500.0,5824.36,2016-02-17T07:03:37,4.42,South Steakhouse #796913,US,US,02,01,food,06/2025,2015-05-25,2015-05-25,235,235,368,,1675.64,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5819.94,2016-02-20T03:59:08,240.29,Dinosaur Restaurant,US,US,09,01,food,02/2027,2015-05-25,2015-05-25,235,235,368,,1680.06,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5579.65,2016-02-23T13:19:59,8.27,Los Angeles News,US,US,02,01,subscriptions,08/2030,2015-05-25,2015-05-25,235,235,368,,1920.35,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,5571.38,2016-02-28T20:02:04,219.5,NY Deli,US,US,09,08,food,03/2025,2015-05-25,2015-05-25,235,235,368,,1928.62,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-03-06T15:46:28,103.89,Boston Pub,US,US,09,01,food,02/2029,2015-05-25,2015-05-25,235,035,368,,0.0,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7396.11,2016-03-07T20:51:27,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,103.89,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7392.34,2016-03-08T20:48:14,93.84,1st Sandwitch Bar #119707,US,US,02,01,food,07/2028,2015-05-25,2015-05-25,235,235,368,,107.66,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7298.5,2016-03-09T15:34:32,828.11,NY Deli,US,US,05,08,food,08/2030,2015-05-25,2015-05-25,235,235,368,,201.5,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6470.39,2016-03-09T15:34:50,828.11,NY Deli,US,US,05,08,food,08/2030,2015-05-25,2015-05-25,235,235,368,,1029.61,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5642.28,2016-03-09T15:36:30,828.11,NY Deli,US,US,05,08,food,08/2030,2015-05-25,2015-05-25,235,235,368,,1857.72,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,4814.17,2016-03-12T11:36:15,156.24,John's Cafe,US,US,05,01,food,11/2028,2015-05-25,2015-05-25,235,235,368,,2685.83,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,4657.93,2016-03-12T11:38:07,156.24,John's Cafe,US,US,05,01,food,11/2028,2015-05-25,2015-05-25,235,235,368,,2842.07,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,4501.69,2016-03-14T23:45:48,121.8,South Steakhouse #335249,US,US,05,01,food,04/2032,2015-05-25,2015-05-25,235,235,368,,2998.31,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,4379.89,2016-03-25T23:41:17,47.19,Franks Pub #755509,US,US,05,01,food,06/2029,2015-05-25,2015-05-25,235,235,368,,3120.11,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-04-07T15:15:57,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,0.0,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7496.23,2016-04-12T06:36:49,73.21,Seattle News,US,US,09,01,subscriptions,08/2024,2015-05-25,2015-05-25,235,235,368,,3.77,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7423.02,2016-04-20T16:19:27,347.91,Best Deli #100511,US,US,02,01,food,06/2029,2015-05-25,2015-05-25,235,235,368,,76.98,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7075.11,2016-04-22T08:22:43,107.72,Dinosaur Restaurant,US,US,02,01,food,04/2030,2015-05-25,2015-05-25,235,235,368,,424.89,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6967.39,2016-04-23T14:06:03,141.52,1st BBQ,US,US,09,08,food,09/2021,2015-05-25,2015-05-25,235,235,368,,532.61,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6825.87,2016-04-24T00:41:53,36.57,34th BBQ #214431,US,US,09,01,food,08/2032,2015-05-25,2015-05-25,235,235,368,,674.13,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6789.3,2016-04-25T11:21:12,117.27,Boston Cafe #592935,US,US,09,01,food,07/2029,2015-05-25,2015-05-25,235,235,368,,710.7,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-05-05T07:14:09,293.54,34th BBQ #493821,US,US,05,01,food,07/2022,2015-05-25,2015-05-25,235,235,368,,0.0,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7206.46,2016-05-06T11:55:26,21.09,South Cafe,US,US,05,01,food,07/2023,2015-05-25,2015-05-25,235,235,368,,293.54,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7185.37,2016-05-08T16:27:43,77.65,Uptown Fries,US,US,05,01,food,03/2028,2015-05-25,2015-05-25,235,235,368,,314.63,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7107.72,2016-05-08T17:41:08,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,392.28,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7103.95,2016-05-09T06:19:00,303.9,NY News,US,US,09,01,subscriptions,07/2031,2015-05-25,2015-05-25,235,235,368,,396.05,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,6800.05,2016-05-15T02:18:04,15.25,Seattle Times,US,US,05,01,subscriptions,05/2024,2015-05-25,2015-05-25,235,235,368,,699.95,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,6784.8,2016-05-16T19:17:34,256.36,Dinosaur Sandwitch Bar #303701,US,US,05,01,food,05/2032,2015-05-25,2015-05-25,235,235,368,,715.2,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6528.44,2016-05-23T01:04:45,59.29,Best Deli #316476,US,US,,99,food,01/2032,2015-05-25,2015-05-25,235,235,368,,971.56,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-06-01T11:37:09,0.0,Dinosaur Sandwitch Bar #249717,US,US,02,01,food,05/2024,2015-05-25,2015-05-25,235,235,368,,0.0,,,,False,,,False,ADDRESS_VERIFICATION,False
158904080,158904080,7500.0,7500.0,2016-06-03T10:25:49,22.72,Dallas Journal,US,US,80,08,subscriptions,03/2027,2015-05-25,2015-05-25,235,235,368,,0.0,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7477.28,2016-06-08T07:28:50,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,22.72,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7473.51,2016-06-11T14:36:50,72.39,Franks Pub #632075,US,US,09,01,food,03/2032,2015-05-25,2015-05-25,235,235,368,,26.49,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7401.12,2016-06-12T17:37:58,16.23,34th Bistro,US,US,05,01,food,12/2032,2015-05-25,2015-05-25,235,235,368,,98.88,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7384.89,2016-06-19T20:10:37,45.23,Best Deli #329705,US,US,09,01,food,04/2033,2015-05-25,2015-05-25,235,235,368,,115.11,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7339.66,2016-06-22T22:25:22,98.12,Franks Cafe,US,US,05,01,food,05/2027,2015-05-25,2015-05-25,235,235,368,,160.34,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7241.54,2016-06-26T07:10:43,126.49,Uptown Steakhouse,US,US,05,01,food,07/2024,2015-05-25,2015-05-25,235,235,368,,258.46,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7115.05,2016-06-29T02:52:58,184.53,Chicago News,US,US,09,01,subscriptions,08/2030,2015-05-25,2015-05-25,235,235,368,,384.95,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-07-03T05:46:49,8.42,Dinosaur Restaurant,US,US,09,01,food,03/2032,2015-05-25,2015-05-25,235,235,368,,0.0,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7491.58,2016-07-03T22:03:21,237.88,Franks Pub #632075,US,US,02,08,food,06/2033,2015-05-25,2015-05-25,235,235,368,,8.42,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7253.7,2016-07-04T03:46:00,60.94,Seattle News,US,US,05,01,subscriptions,12/2032,2015-05-25,2015-05-25,235,235,368,,246.3,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7192.76,2016-07-07T09:02:14,24.66,Annies Fries,US,US,09,08,food,12/2030,2015-05-25,2015-05-25,235,235,368,,307.24,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7168.1,2016-07-07T09:04:56,24.66,Annies Fries,US,US,09,08,food,12/2030,2015-05-25,2015-05-25,235,235,368,,331.9,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7143.44,2016-07-08T08:36:28,176.61,34th BBQ #436606,US,US,09,01,food,12/2029,2015-05-25,2015-05-25,235,235,368,,356.56,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6966.83,2016-07-09T10:03:15,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,533.17,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,6963.06,2016-07-09T20:27:48,261.34,Dinosaur Sandwitch Bar #08794,US,US,09,01,food,12/2023,2015-05-25,2015-05-25,235,235,368,,536.94,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6701.72,2016-07-15T15:18:42,312.03,Ray's Fries #153092,US,US,05,01,food,11/2029,2015-05-25,2015-05-25,235,235,368,,798.28,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6389.69,2016-07-16T04:50:08,121.7,Ray's Fries #745083,US,US,09,01,food,10/2030,2015-05-25,2015-05-25,235,235,368,,1110.31,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6267.99,2016-07-19T01:26:24,0.0,Dinosaur Sandwitch Bar #960325,US,US,09,01,food,02/2026,2015-05-25,2015-05-25,235,235,368,,1232.01,,,,False,,,False,ADDRESS_VERIFICATION,False
158904080,158904080,7500.0,6267.99,2016-07-19T10:19:13,151.37,Hardee's #862001,US,US,09,01,fastfood,10/2029,2015-05-25,2015-05-25,235,235,368,,1232.01,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6116.62,2016-07-20T23:36:06,92.84,Uptown Diner,US,US,09,01,food,07/2027,2015-05-25,2015-05-25,235,235,368,,1383.38,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6023.78,2016-07-22T00:09:33,285.74,John's Cafe,US,US,09,01,food,03/2033,2015-05-25,2015-05-25,235,235,368,,1476.22,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5738.04,2016-07-23T10:43:08,219.21,Dinosaur Sandwitch Bar #08794,US,US,02,01,food,05/2029,2015-05-25,2015-05-25,235,235,368,,1761.96,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5518.83,2016-07-25T15:53:59,122.06,Uptown BBQ,US,US,05,08,food,02/2027,2015-05-25,2015-05-25,235,235,368,,1981.17,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5396.77,2016-07-26T01:24:37,277.13,Uptown Diner,US,US,90,08,food,09/2032,2015-05-25,2015-05-25,235,235,368,,2103.23,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5119.64,2016-07-26T08:26:52,67.05,Downtown Sandwitch Bar,US,US,09,08,food,10/2032,2015-05-25,2015-05-25,235,235,368,,2380.36,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5052.59,2016-07-26T08:47:03,207.18,Best Bistro #262998,US,US,09,01,food,11/2026,2015-05-25,2015-05-25,235,235,368,,2447.41,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,4845.41,2016-07-27T23:43:09,160.72,34th Pub,US,US,09,01,food,12/2031,2015-05-25,2015-05-25,235,235,368,,2654.59,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-08-02T21:23:14,130.54,Washington News,US,US,90,01,subscriptions,09/2032,2015-05-25,2015-05-25,235,235,368,,0.0,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7369.46,2016-08-08T08:24:43,312.23,Dallas Post,US,US,05,01,subscriptions,11/2028,2015-05-25,2015-05-25,235,235,368,,130.54,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7057.23,2016-08-09T19:56:36,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,442.77,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7053.46,2016-08-22T18:41:20,78.42,Franks Restaurant,US,US,09,01,food,02/2025,2015-05-25,2015-05-25,235,235,368,,446.54,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6975.04,2016-08-23T13:37:44,352.93,Dinosaur Sandwitch Bar #08794,US,US,09,01,food,03/2031,2015-05-25,2015-05-25,235,235,368,,524.96,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6622.11,2016-08-28T23:00:08,1.66,Franks Pub #829873,US,US,09,01,food,02/2020,2015-05-25,2015-05-25,235,235,368,,877.89,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-09-08T23:02:39,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,0.0,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7496.23,2016-09-09T21:40:52,91.5,Dinosaur Sandwitch Bar #249717,US,US,02,01,food,09/2024,2015-05-25,2015-05-25,235,235,368,,3.77,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7404.73,2016-09-11T19:48:57,998.62,Best Deli #100511,US,US,02,01,food,04/2029,2015-05-25,2015-05-25,235,235,368,,95.27,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6406.11,2016-09-13T15:16:53,231.88,Uptown BBQ,US,US,05,01,food,07/2030,2015-05-25,2015-05-25,235,235,368,,1093.89,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6174.23,2016-09-14T19:19:49,230.47,Best Pub,US,US,02,01,food,06/2025,2015-05-25,2015-05-25,235,235,368,,1325.77,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5943.76,2016-09-15T07:55:05,0.0,34th BBQ #436606,US,US,02,01,food,02/2020,2015-05-25,2015-05-25,235,235,368,,1556.24,,,,False,,,False,ADDRESS_VERIFICATION,False
158904080,158904080,7500.0,5943.76,2016-09-23T08:12:17,10.63,1st Sandwitch Bar #801388,US,US,05,01,food,09/2023,2015-05-25,2015-05-25,235,235,368,,1556.24,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5933.13,2016-09-25T17:06:02,15.92,South Steakhouse #879581,US,US,09,01,food,12/2028,2015-05-25,2015-05-25,235,235,368,,1566.87,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,5917.21,2016-09-29T01:58:29,31.9,South Steakhouse #157238,US,US,02,01,food,04/2025,2015-05-25,2015-05-25,235,235,368,,1582.79,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-10-03T03:26:07,3.64,34th BBQ #166379,US,US,09,01,food,07/2029,2015-05-25,2015-05-25,235,235,368,,0.0,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7496.36,2016-10-09T08:02:00,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,3.64,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7492.59,2016-10-11T14:36:28,31.9,South Steakhouse #157238,US,US,02,01,food,04/2025,2015-05-25,2015-05-25,235,235,368,,7.41,,,,True,,,False,REVERSAL,False
158904080,158904080,7500.0,7500.0,2016-10-14T04:21:48,0.0,1st Sandwitch Bar #396252,US,US,05,01,food,10/2023,2015-05-25,2015-05-25,235,235,368,,0.0,,,,False,,,False,ADDRESS_VERIFICATION,False
158904080,158904080,7500.0,7500.0,2016-10-17T02:48:37,40.26,34th Diner,US,US,02,01,food,12/2030,2015-05-25,2015-05-25,235,235,368,,0.0,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7459.74,2016-10-22T08:57:22,16.4,Washington Times,US,US,05,01,subscriptions,12/2028,2015-05-25,2015-05-25,235,235,368,,40.26,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7443.34,2016-10-23T22:08:01,30.84,Best Deli #100511,US,US,05,01,food,05/2021,2015-05-25,2015-05-25,235,235,368,,56.66,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7412.5,2016-10-25T17:32:23,71.11,34th BBQ #207369,US,US,02,01,food,10/2020,2015-05-25,2015-05-25,235,235,368,,87.5,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7341.39,2016-10-25T21:28:51,64.71,Ray's Fries #153092,US,US,02,01,food,04/2024,2015-05-25,2015-05-25,235,235,368,,158.61,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7276.68,2016-10-29T11:54:53,116.37,Uptown Fries,US,US,09,08,food,06/2033,2015-05-25,2015-05-25,235,235,368,,223.32,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-11-03T20:31:26,6.01,Franks Sandwitch Bar,US,US,02,01,food,04/2033,2015-05-25,2015-05-25,235,235,368,,0.0,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7493.99,2016-11-05T09:15:30,35.69,Boston Diner,US,US,05,01,food,10/2027,2015-05-25,2015-05-25,235,235,368,,6.01,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7458.3,2016-11-06T17:08:02,58.2,34th BBQ #192302,US,US,05,01,food,08/2033,2015-05-25,2015-05-25,235,232,368,,41.7,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7400.1,2016-11-09T07:02:54,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,99.9,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7396.33,2016-11-14T13:27:56,142.78,34th BBQ #214431,US,US,02,01,food,02/2032,2015-05-25,2015-05-25,235,235,368,,103.67,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7253.55,2016-11-20T03:31:49,161.47,Ray's Fries #892291,US,US,02,01,food,12/2029,2015-05-25,2015-05-25,235,235,368,,246.45,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7500.0,2016-12-03T16:35:34,252.44,1st BBQ,MEX,MEX,02,01,food,08/2021,2015-05-25,2015-05-25,235,235,368,,0.0,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7247.56,2016-12-06T22:36:35,82.46,Ray's Fries #745083,US,US,09,08,food,06/2020,2015-05-25,2015-05-25,235,235,368,,252.44,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7165.1,2016-12-10T08:43:46,3.77,Apple iTunes,US,US,09,01,mobileapps,09/2031,2015-05-25,2015-05-25,235,235,368,,334.9,,,,False,,,False,PURCHASE,False
158904080,158904080,7500.0,7161.33,2016-12-17T02:14:27,64.22,1st Sandwitch Bar #119707,US,US,02,01,food,04/2022,2015-05-25,2015-05-25,235,235,368,,338.67,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,7097.11,2016-12-17T07:01:29,134.81,34th BBQ #436606,US,US,02,08,food,09/2030,2015-05-25,2015-05-25,235,235,368,,402.89,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6962.3,2016-12-20T00:28:25,109.17,Uptown BBQ,US,US,05,01,food,03/2028,2015-05-25,2015-05-25,235,235,368,,537.7,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6853.13,2016-12-20T21:58:06,31.32,Ray's Fries #892291,US,US,09,01,food,02/2022,2015-05-25,2015-05-25,235,235,368,,646.87,,,,True,,,False,PURCHASE,False
158904080,158904080,7500.0,6821.81,2016-12-25T00:43:36,105.42,Dinosaur Sandwitch Bar #303701,US,US,05,08,food,03/2021,2015-05-25,2015-05-25,235,235,368,,678.19,,,,False,,,False,PURCHASE,False
